,SARS-Cov-2 SB,HCov-229E SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,28012,1577,5.6297301156647155
HLA-B44:02,30431,27986,1574,5.6242406917744585
HLA-C06:02,28358,26001,1452,5.584400599976924
HLA-B38:01,26482,24436,1364,5.581928302504502
HLA-C07:01,28396,26036,1445,5.550007681671532
HLA-B13:02,24066,22196,1224,5.514507118399712
HLA-C01:02,26368,24183,1321,5.462514989868916
HLA-B08:01,22177,20537,1115,5.429225300676827
HLA-B35:03,21858,20202,1091,5.4004554004554
HLA-C07:02,20305,18787,998,5.312183956991537
HLA-B07:02,18936,17421,919,5.275242523391309
HLA-B57:01,20752,19147,1010,5.274977803311224
HLA-B18:01,20507,18915,996,5.265662172878668
HLA-A25:01,19310,17785,934,5.251616530784369
HLA-B58:01,18012,16620,853,5.132370637785801
HLA-C03:03,18469,17063,875,5.128054855535369
HLA-C03:04,18469,17063,875,5.128054855535369
HLA-A32:01,15153,13994,716,5.1164784907817635
HLA-C02:02,17840,16518,843,5.10352342898656
HLA-A11:01,14942,13999,713,5.093220944353169
HLA-B51:01,14271,13321,674,5.059680204188875
HLA-A03:01,14041,13106,660,5.035861437509538
HLA-B15:01,14858,13850,695,5.018050541516246
HLA-B40:01,16250,15080,756,5.0132625994694955
HLA-C12:03,14170,13210,654,4.950794852384558
HLA-B35:01,13951,13090,647,4.94270435446906
HLA-A68:01,5205,4897,242,4.9418011027159485
HLA-B27:05,12735,12001,593,4.941254895425382
HLA-A23:01,6421,5995,291,4.854045037531276
HLA-A31:01,9562,8963,434,4.8421287515340845
HLA-A01:01,11387,10668,516,4.83689538807649
HLA-C15:02,12680,11779,567,4.8136514135325585
HLA-A24:02,6125,5697,274,4.80954888537827
HLA-A26:01,10521,9877,475,4.809152576693328
HLA-C04:01,12886,12108,582,4.806739345887017
HLA-A02:01,5890,5517,260,4.712706180895414
HLA-C05:01,10471,9725,458,4.709511568123393
HLA-A29:02,5837,5436,255,4.690949227373068
