,SARS-Cov-2 SB,HCov-229E SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,28012,2099,7.493217192631729
HLA-B44:02,30431,27986,2096,7.489459015221897
HLA-C06:02,28358,26001,1902,7.315103265259028
HLA-C07:01,28396,26036,1883,7.232293747119373
HLA-B38:01,26482,24436,1754,7.177934195449337
HLA-C01:02,26368,24183,1705,7.050407310920895
HLA-B13:02,24066,22196,1551,6.987745539736889
HLA-B08:01,22177,20537,1397,6.8023567220139265
HLA-B35:03,21858,20202,1354,6.702306702306703
HLA-B57:01,20752,19147,1262,6.591110878988876
HLA-C07:02,20305,18787,1229,6.541757598339277
HLA-A25:01,19310,17785,1160,6.522350295192577
HLA-B18:01,20507,18915,1232,6.513349193761566
HLA-B07:02,18936,17421,1112,6.383100855289594
HLA-C02:02,17840,16518,1034,6.259837752754571
HLA-C03:04,18469,17063,1068,6.259157240813456
HLA-C03:03,18469,17063,1068,6.259157240813456
HLA-B58:01,18012,16620,1037,6.239470517448857
HLA-B40:01,16250,15080,912,6.047745358090186
HLA-A32:01,15153,13994,841,6.0097184507646135
HLA-A11:01,14942,13999,827,5.907564826059004
HLA-B15:01,14858,13850,808,5.833935018050542
HLA-B51:01,14271,13321,775,5.817881540424893
HLA-C12:03,14170,13210,768,5.8137774413323235
HLA-B27:05,12735,12001,685,5.707857678526789
HLA-A03:01,14041,13106,747,5.69967953609034
HLA-B35:01,13951,13090,746,5.699006875477464
HLA-C04:01,12886,12108,684,5.649157581764123
HLA-C15:02,12680,11779,658,5.5862127515069195
HLA-A01:01,11387,10668,591,5.539932508436445
HLA-C05:01,10471,9725,521,5.3573264781491
HLA-A26:01,10521,9877,529,5.3558772906753065
HLA-A31:01,9562,8963,472,5.266093941760571
HLA-A23:01,6421,5995,315,5.254378648874062
HLA-A68:01,5205,4897,256,5.22769042270778
HLA-A24:02,6125,5697,296,5.195717044058276
HLA-A29:02,5837,5436,282,5.187637969094923
HLA-A02:01,5890,5517,284,5.147725212978068
