,SARS-Cov-2 SB,HCov-229E SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,27986,317,1.1327092117487316
HLA-B44:03,30520,28012,317,1.13165786091675
HLA-B13:02,24066,22196,251,1.1308343845737971
HLA-C07:01,28396,26036,291,1.1176832078660317
HLA-C06:02,28358,26001,288,1.107649705780547
HLA-C01:02,26368,24183,267,1.104081379481454
HLA-B38:01,26482,24436,267,1.092650188246849
HLA-B35:03,21858,20202,219,1.0840510840510842
HLA-B08:01,22177,20537,221,1.0761065394166627
HLA-B57:01,20752,19147,205,1.070663811563169
HLA-C07:02,20305,18787,200,1.0645659232447968
HLA-A25:01,19310,17785,188,1.057070565082935
HLA-B18:01,20507,18915,199,1.0520750726936294
HLA-C02:02,17840,16518,173,1.047342293255842
HLA-B51:01,14271,13321,139,1.0434652053149163
HLA-B58:01,18012,16620,172,1.0348977135980746
HLA-C03:04,18469,17063,171,1.0021684346246265
HLA-C03:03,18469,17063,171,1.0021684346246265
HLA-B40:01,16250,15080,151,1.0013262599469497
HLA-A32:01,15153,13994,139,0.9932828355009291
HLA-A03:01,14041,13106,130,0.9919121013276362
HLA-B15:01,14858,13850,137,0.9891696750902528
HLA-B07:02,18936,17421,172,0.987314161069973
HLA-C15:02,12680,11779,116,0.9848034637914933
HLA-C12:03,14170,13210,130,0.984102952308857
HLA-A11:01,14942,13999,137,0.9786413315236803
HLA-B27:05,12735,12001,117,0.9749187567702692
HLA-C04:01,12886,12108,116,0.9580442682523951
HLA-A01:01,11387,10668,101,0.9467566554180727
HLA-A26:01,10521,9877,93,0.9415814518578515
HLA-B35:01,13951,13090,123,0.9396485867074102
HLA-C05:01,10471,9725,90,0.9254498714652957
HLA-A23:01,6421,5995,55,0.9174311926605505
HLA-A24:02,6125,5697,52,0.9127611023345621
HLA-A31:01,9562,8963,79,0.8814013165234854
HLA-A68:01,5205,4897,43,0.8780886256891974
HLA-A02:01,5890,5517,47,0.8519122711618633
HLA-A29:02,5837,5436,45,0.8278145695364238
