,SARS-Cov-2 SB,Zaire Ebolavirus SB,Identical Icores,Proportional overlap
HLA-C15:02,12680,5955,1,0.016792611251049538
HLA-A03:01,14041,6529,1,0.015316281206922957
HLA-C12:03,14170,6530,1,0.015313935681470138
HLA-B51:01,14271,6624,1,0.015096618357487922
HLA-B15:01,14858,6878,1,0.014539110206455364
HLA-A11:01,14942,6971,1,0.014345144168698896
HLA-A32:01,15153,7170,1,0.01394700139470014
HLA-B44:02,30431,14920,2,0.013404825737265418
HLA-B44:03,30520,14991,2,0.013341338136215063
HLA-B40:01,16250,7633,1,0.013101008777675883
HLA-C02:02,17840,8382,1,0.011930326890956812
HLA-B58:01,18012,8441,1,0.011846937566639024
HLA-C03:03,18469,8810,1,0.011350737797956867
HLA-C03:04,18469,8810,1,0.011350737797956867
HLA-B07:02,18936,9164,1,0.010912265386294194
HLA-A25:01,19310,9323,1,0.010726161106939826
HLA-C07:02,20305,9616,1,0.010399334442595673
HLA-B18:01,20507,9828,1,0.010175010175010175
HLA-B57:01,20752,9924,1,0.01007658202337767
HLA-B35:03,21858,10403,1,0.009612611746611554
HLA-B08:01,22177,10830,1,0.009233610341643581
HLA-B13:02,24066,11662,1,0.008574858514834506
HLA-B38:01,26482,12875,1,0.007766990291262136
HLA-C01:02,26368,12935,1,0.007730962504831851
HLA-C06:02,28358,13857,1,0.007216569242981887
HLA-C07:01,28396,13931,1,0.007178235589692054
HLA-C05:01,10471,4797,0,0.0
HLA-A24:02,6125,2705,0,0.0
HLA-A31:01,9562,4335,0,0.0
HLA-C04:01,12886,5890,0,0.0
HLA-A29:02,5837,2547,0,0.0
HLA-B27:05,12735,5929,0,0.0
HLA-A01:01,11387,5229,0,0.0
HLA-B35:01,13951,6384,0,0.0
HLA-A26:01,10521,4769,0,0.0
HLA-A68:01,5205,2329,0,0.0
HLA-A23:01,6421,2813,0,0.0
HLA-A02:01,5890,2584,0,0.0
