,SARS-Cov-2 SB,Zaire Ebolavirus SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,14991,96,0.6403842305383229
HLA-B44:02,30431,14920,94,0.6300268096514745
HLA-B38:01,26482,12875,74,0.5747572815533981
HLA-C06:02,28358,13857,79,0.570108970195569
HLA-C07:01,28396,13931,78,0.5599023759959801
HLA-C01:02,26368,12935,70,0.5411673753382297
HLA-B13:02,24066,11662,59,0.5059166523752358
HLA-B08:01,22177,10830,53,0.4893813481071099
HLA-A25:01,19310,9323,43,0.4612249275984125
HLA-B35:03,21858,10403,45,0.43256752859751996
HLA-C07:02,20305,9616,41,0.4263727121464226
HLA-B57:01,20752,9924,42,0.42321644498186217
HLA-C03:04,18469,8810,37,0.4199772985244041
HLA-C03:03,18469,8810,37,0.4199772985244041
HLA-C02:02,17840,8382,35,0.4175614411834884
HLA-B18:01,20507,9828,40,0.40700040700040696
HLA-B07:02,18936,9164,37,0.4037538192928852
HLA-B58:01,18012,8441,33,0.3909489396990878
HLA-B15:01,14858,6878,25,0.3634777551613841
HLA-B40:01,16250,7633,27,0.3537272369972488
HLA-B35:01,13951,6384,20,0.3132832080200501
HLA-A32:01,15153,7170,22,0.30683403068340304
HLA-A03:01,14041,6529,20,0.3063256241384592
HLA-C12:03,14170,6530,20,0.3062787136294028
HLA-C15:02,12680,5955,18,0.30226700251889166
HLA-B51:01,14271,6624,20,0.30193236714975846
HLA-A11:01,14942,6971,21,0.30124802754267677
HLA-C04:01,12886,5890,16,0.27164685908319186
HLA-C05:01,10471,4797,13,0.27100271002710025
HLA-A01:01,11387,5229,13,0.24861350162554982
HLA-A31:01,9562,4335,10,0.2306805074971165
HLA-A26:01,10521,4769,11,0.23065632208010065
HLA-B27:05,12735,5929,13,0.21926125822229717
HLA-A02:01,5890,2584,3,0.11609907120743033
HLA-A23:01,6421,2813,3,0.10664770707429791
HLA-A29:02,5837,2547,2,0.07852375343541422
HLA-A24:02,6125,2705,2,0.07393715341959334
HLA-A68:01,5205,2329,0,0.0
