,SARS-Cov-2 SB,Influenza virus A H3N2 SB,Identical Icores,Proportional overlap
HLA-A02:01,5890,2206,0,0.0
HLA-C04:01,12886,5096,0,0.0
HLA-B13:02,24066,10714,0,0.0
HLA-B27:05,12735,5370,0,0.0
HLA-B57:01,20752,8832,0,0.0
HLA-B35:03,21858,9347,0,0.0
HLA-B38:01,26482,11793,0,0.0
HLA-B58:01,18012,7483,0,0.0
HLA-C07:01,28396,12816,0,0.0
HLA-C07:02,20305,8688,0,0.0
HLA-A01:01,11387,4589,0,0.0
HLA-C06:02,28358,12734,0,0.0
HLA-C12:03,14170,5772,0,0.0
HLA-C05:01,10471,4095,0,0.0
HLA-C02:02,17840,7509,0,0.0
HLA-C03:04,18469,7869,0,0.0
HLA-C03:03,18469,7869,0,0.0
HLA-C01:02,26368,11995,0,0.0
HLA-B40:01,16250,6751,0,0.0
HLA-B44:03,30520,13938,0,0.0
HLA-B35:01,13951,5563,0,0.0
HLA-B18:01,20507,8798,0,0.0
HLA-A03:01,14041,5776,0,0.0
HLA-A24:02,6125,2369,0,0.0
HLA-A11:01,14942,6182,0,0.0
HLA-A26:01,10521,4127,0,0.0
HLA-A32:01,15153,6343,0,0.0
HLA-A68:01,5205,1989,0,0.0
HLA-A25:01,19310,8355,0,0.0
HLA-A31:01,9562,3768,0,0.0
HLA-A29:02,5837,2216,0,0.0
HLA-A23:01,6421,2485,0,0.0
HLA-B07:02,18936,8314,0,0.0
HLA-B08:01,22177,9868,0,0.0
HLA-B15:01,14858,6072,0,0.0
HLA-B51:01,14271,5859,0,0.0
HLA-B44:02,30431,13869,0,0.0
HLA-C15:02,12680,5265,0,0.0
