,SARS-Cov-2 SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,31116,2696,8.859386809503466
HLA-B44:03,30520,31173,2700,8.846657929226737
HLA-B38:01,26482,27308,2316,8.74556302394079
HLA-C06:02,28358,28880,2477,8.734748571831583
HLA-C07:01,28396,28870,2465,8.680800112691928
HLA-B08:01,22177,23063,1917,8.644090724624611
HLA-B13:02,24066,24880,2080,8.642898695254717
HLA-C01:02,26368,26838,2236,8.47997572815534
HLA-B35:03,21858,22610,1847,8.449995425016013
HLA-B07:02,18936,19876,1599,8.44423320659062
HLA-A25:01,19310,19968,1627,8.425686172967374
HLA-B57:01,20752,21429,1741,8.389552814186585
HLA-B27:05,12735,13894,1068,8.386336866902237
HLA-C07:02,20305,21141,1702,8.382171878847574
HLA-B18:01,20507,21112,1716,8.367874384356561
HLA-B51:01,14271,15341,1189,8.331581528974844
HLA-A32:01,15153,15957,1258,8.301986405332277
HLA-B58:01,18012,18707,1490,8.272262935820564
HLA-C02:02,17840,18550,1475,8.267937219730943
HLA-C03:04,18469,19210,1526,8.262493908711896
HLA-C03:03,18469,19210,1526,8.262493908711896
HLA-B40:01,16250,17138,1339,8.24
HLA-B35:01,13951,14859,1148,8.228800802809834
HLA-A11:01,14942,15791,1227,8.21175210815152
HLA-A03:01,14041,14816,1151,8.197421836051562
HLA-C04:01,12886,13768,1054,8.179419525065963
HLA-A01:01,11387,12296,930,8.167208219899885
HLA-B15:01,14858,15620,1208,8.130300174989905
HLA-C12:03,14170,14837,1150,8.115737473535638
HLA-A26:01,10521,11533,853,8.107594335139245
HLA-C15:02,12680,13463,1019,8.03627760252366
HLA-C05:01,10471,11120,839,8.012606245821793
HLA-A31:01,9562,10531,758,7.927211880359758
HLA-A68:01,5205,5887,409,7.857829010566762
HLA-A23:01,6421,7102,492,7.662357888179411
HLA-A02:01,5890,6594,449,7.623089983022072
HLA-A29:02,5837,6355,442,7.57238307349666
HLA-A24:02,6125,6785,462,7.542857142857143
