,SARS-Cov-2 SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,31173,3235,10.599606815203146
HLA-B44:02,30431,31116,3224,10.594459597121357
HLA-C06:02,28358,28880,2928,10.325128711474717
HLA-B38:01,26482,27308,2724,10.286232157692018
HLA-C07:01,28396,28870,2899,10.209184392167911
HLA-B13:02,24066,24880,2418,10.047369733233607
HLA-B08:01,22177,23063,2219,10.005861929025567
HLA-C01:02,26368,26838,2636,9.996966019417476
HLA-A25:01,19310,19968,1873,9.699637493526671
HLA-B07:02,18936,19876,1833,9.679974651457542
HLA-B35:03,21858,22610,2114,9.671516149693476
HLA-C07:02,20305,21141,1955,9.62817040137897
HLA-B57:01,20752,21429,1996,9.618350038550501
HLA-B18:01,20507,21112,1951,9.513824547715414
HLA-C03:04,18469,19210,1752,9.486166007905137
HLA-C03:03,18469,19210,1752,9.486166007905137
HLA-B58:01,18012,18707,1687,9.365978236731069
HLA-B40:01,16250,17138,1519,9.347692307692308
HLA-C02:02,17840,18550,1666,9.338565022421525
HLA-A32:01,15153,15957,1392,9.186299742625224
HLA-B51:01,14271,15341,1310,9.179454838483638
HLA-B27:05,12735,13894,1167,9.16372202591284
HLA-A11:01,14942,15791,1356,9.075090349350823
HLA-B35:01,13951,14859,1264,9.060282417031038
HLA-C04:01,12886,13768,1161,9.009778053701693
HLA-A03:01,14041,14816,1264,9.002207819955842
HLA-B15:01,14858,15620,1335,8.985058554314174
HLA-C12:03,14170,14837,1267,8.941425546930134
HLA-A01:01,11387,12296,1018,8.940019320277509
HLA-C15:02,12680,13463,1127,8.88801261829653
HLA-A26:01,10521,11533,930,8.839463929284289
HLA-C05:01,10471,11120,918,8.767070957883679
HLA-A31:01,9562,10531,810,8.471031165028236
HLA-A68:01,5205,5887,430,8.261287223823247
HLA-A23:01,6421,7102,516,8.036131443700357
HLA-A02:01,5890,6594,465,7.894736842105263
HLA-A24:02,6125,6785,481,7.853061224489796
HLA-A29:02,5837,6355,457,7.829364399520301
