,SARS-Cov-2 SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-B38:01,26482,27308,423,1.5973113813156106
HLA-B44:02,30431,31116,481,1.580625020538267
HLA-C06:02,28358,28880,447,1.5762747725509556
HLA-B44:03,30520,31173,481,1.5760157273918742
HLA-C07:01,28396,28870,445,1.5671221298774476
HLA-B08:01,22177,23063,346,1.5601749560355322
HLA-B13:02,24066,24880,375,1.5582149090002493
HLA-C02:02,17840,18550,273,1.5302690582959642
HLA-B07:02,18936,19876,289,1.5261934938741022
HLA-C01:02,26368,26838,399,1.5131978155339807
HLA-B18:01,20507,21112,309,1.506802555225045
HLA-B57:01,20752,21429,309,1.4890131071703931
HLA-C07:02,20305,21141,302,1.4873183944841173
HLA-B35:03,21858,22610,322,1.473144843993046
HLA-B58:01,18012,18707,265,1.471241394625805
HLA-A25:01,19310,19968,284,1.4707405489383738
HLA-C03:04,18469,19210,271,1.4673236233688884
HLA-C03:03,18469,19210,271,1.4673236233688884
HLA-C04:01,12886,13768,188,1.458947695173056
HLA-C05:01,10471,11120,151,1.4420781205233502
HLA-C15:02,12680,13463,182,1.4353312302839116
HLA-A32:01,15153,15957,217,1.432059658153501
HLA-B40:01,16250,17138,232,1.4276923076923078
HLA-C12:03,14170,14837,202,1.4255469301340862
HLA-A11:01,14942,15791,212,1.4188194351492438
HLA-B15:01,14858,15620,208,1.3999192354287253
HLA-B51:01,14271,15341,199,1.3944362693574381
HLA-B35:01,13951,14859,194,1.3905813203354598
HLA-B27:05,12735,13894,177,1.3898704358068317
HLA-A03:01,14041,14816,195,1.3887899722242005
HLA-A01:01,11387,12296,158,1.3875472029507332
HLA-A26:01,10521,11533,137,1.3021575895827393
HLA-A31:01,9562,10531,121,1.2654256431708848
HLA-A23:01,6421,7102,76,1.183616259149665
HLA-A29:02,5837,6355,68,1.1649820113071783
HLA-A02:01,5890,6594,68,1.1544991511035654
HLA-A24:02,6125,6785,69,1.126530612244898
HLA-A68:01,5205,5887,56,1.0758885686839577
