,SARS-Cov-2 SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,28619,1664,5.814319158600929
HLA-B44:02,30431,28588,1661,5.810130124527774
HLA-C07:01,28396,26545,1526,5.748728574119419
HLA-B38:01,26482,25020,1436,5.739408473221423
HLA-C06:02,28358,26553,1514,5.701803939291229
HLA-C01:02,26368,24773,1402,5.659387236103823
HLA-B13:02,24066,22857,1275,5.578159863499147
HLA-B08:01,22177,21072,1175,5.576119969627942
HLA-B35:03,21858,20753,1145,5.517274610899629
HLA-B18:01,20507,19401,1061,5.468790268542858
HLA-C07:02,20305,19275,1047,5.4319066147859925
HLA-B58:01,18012,17086,924,5.407936322135081
HLA-B57:01,20752,19691,1059,5.378091513889594
HLA-B07:02,18936,17975,965,5.368567454798331
HLA-C02:02,17840,16902,907,5.366228848656964
HLA-A25:01,19310,18343,984,5.364444202147959
HLA-B40:01,16250,15501,821,5.296432488226566
HLA-C03:03,18469,17580,925,5.261660978384528
HLA-C03:04,18469,17580,925,5.261660978384528
HLA-B27:05,12735,12466,649,5.206160757259746
HLA-B51:01,14271,13865,716,5.164082221420844
HLA-A11:01,14942,14439,745,5.159637093981577
HLA-A23:01,6421,6384,329,5.1535087719298245
HLA-C12:03,14170,13589,699,5.143866362499081
HLA-B35:01,13951,13560,696,5.132743362831858
HLA-B15:01,14858,14300,733,5.125874125874126
HLA-A03:01,14041,13544,693,5.116656822209096
HLA-A32:01,15153,14522,737,5.075058531882661
HLA-A24:02,6125,6114,309,5.053974484789009
HLA-A01:01,11387,11188,565,5.050053628888095
HLA-A68:01,5205,5284,261,5.014409221902017
HLA-C15:02,12680,12267,614,5.005298769055189
HLA-A29:02,5837,5759,288,5.000868206285814
HLA-C04:01,12886,12590,627,4.980142970611596
HLA-A26:01,10521,10387,512,4.92923847116588
HLA-A02:01,5890,5935,289,4.906621392190153
HLA-C05:01,10471,10222,499,4.881627861475249
HLA-A31:01,9562,9553,463,4.846645032973935
