,SARS-Cov-2 SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,28588,2213,7.7410102140758354
HLA-B44:03,30520,28619,2215,7.739613543450155
HLA-C07:01,28396,26545,1996,7.519306837445846
HLA-C06:02,28358,26553,1994,7.509509283320153
HLA-B38:01,26482,25020,1850,7.394084732214229
HLA-C01:02,26368,24773,1801,7.2700117062931415
HLA-B13:02,24066,22857,1617,7.074419215120094
HLA-B08:01,22177,21072,1477,7.009301442672741
HLA-B35:03,21858,20753,1416,6.823109911819977
HLA-B57:01,20752,19691,1321,6.708648621197501
HLA-C07:02,20305,19275,1286,6.671854734111543
HLA-B18:01,20507,19401,1294,6.669759290758208
HLA-A25:01,19310,18343,1220,6.6510385433135255
HLA-B58:01,18012,17086,1105,6.46728315580007
HLA-C02:02,17840,16902,1091,6.454857413323866
HLA-B07:02,18936,17975,1158,6.4422809457579975
HLA-C03:03,18469,17580,1124,6.39362912400455
HLA-C03:04,18469,17580,1124,6.39362912400455
HLA-B40:01,16250,15501,969,6.251209599380685
HLA-A32:01,15153,14522,874,6.0184547582977554
HLA-C12:03,14170,13589,815,5.997497976304364
HLA-B27:05,12735,12466,746,5.984277234076689
HLA-A11:01,14942,14439,863,5.976868204169264
HLA-B15:01,14858,14300,848,5.93006993006993
HLA-B35:01,13951,13560,800,5.899705014749262
HLA-A03:01,14041,13544,794,5.862374483165977
HLA-B51:01,14271,13865,811,5.849260728452939
HLA-C04:01,12886,12590,732,5.814138204924543
HLA-A01:01,11387,11188,640,5.7204147300679296
HLA-C15:02,12680,12267,700,5.70636667481862
HLA-C05:01,10471,10222,570,5.5762081784386615
HLA-A26:01,10521,10387,578,5.564648117839607
HLA-A23:01,6421,6384,349,5.466791979949875
HLA-A31:01,9562,9553,516,5.401444572385638
HLA-A68:01,5205,5284,281,5.398655139289145
HLA-A24:02,6125,6114,327,5.34838076545633
HLA-A29:02,5837,5759,308,5.348150720611217
HLA-A02:01,5890,5935,305,5.178268251273345
