,SARS-Cov-2 SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,28588,199,0.6960962641667833
HLA-B44:03,30520,28619,198,0.691848072958524
HLA-C07:01,28396,26545,183,0.689395366359013
HLA-C06:02,28358,26553,181,0.6816555568109065
HLA-C01:02,26368,24773,168,0.6781576716586606
HLA-B13:02,24066,22857,155,0.6781292383077394
HLA-B38:01,26482,25020,167,0.6674660271782573
HLA-C02:02,17840,16902,110,0.6508105549639096
HLA-B08:01,22177,21072,137,0.6501518602885346
HLA-B57:01,20752,19691,128,0.6500431669290538
HLA-B35:03,21858,20753,134,0.6456897797908736
HLA-B18:01,20507,19401,124,0.6391423122519457
HLA-B27:05,12735,12466,79,0.6337237285416333
HLA-C07:02,20305,19275,122,0.6329442282749675
HLA-B58:01,18012,17086,106,0.6203909633618168
HLA-B51:01,14271,13865,86,0.6202668589974756
HLA-B07:02,18936,17975,111,0.6175243393602226
HLA-C15:02,12680,12267,75,0.6113964294448521
HLA-C03:03,18469,17580,107,0.608646188850967
HLA-C03:04,18469,17580,107,0.608646188850967
HLA-A11:01,14942,14439,87,0.6025348015790567
HLA-B40:01,16250,15501,93,0.5999612928198181
HLA-A68:01,5205,5284,31,0.595581171950048
HLA-A25:01,19310,18343,109,0.5942321321485036
HLA-A32:01,15153,14522,86,0.5922049304503513
HLA-A03:01,14041,13544,80,0.5906674542232723
HLA-A01:01,11387,11188,66,0.5899177690382552
HLA-C12:03,14170,13589,80,0.5887114577967474
HLA-B35:01,13951,13560,79,0.5825958702064896
HLA-A23:01,6421,6384,37,0.5795739348370927
HLA-C04:01,12886,12590,72,0.5718824463860206
HLA-B15:01,14858,14300,81,0.5664335664335665
HLA-A26:01,10521,10387,58,0.5583902955617599
HLA-A24:02,6125,6114,34,0.5561007523716062
HLA-A31:01,9562,9553,53,0.5547995394117031
HLA-C05:01,10471,10222,55,0.5380551751125024
HLA-A29:02,5837,5759,30,0.5209237714881055
HLA-A02:01,5890,5935,30,0.5093378607809848
