,SARS-Cov-2 SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,31569,3295,10.827774309092701
HLA-B44:03,30520,31658,3299,10.809305373525557
HLA-B38:01,26482,27552,2798,10.565667245676307
HLA-C06:02,28358,29275,2976,10.49439311658086
HLA-C07:01,28396,29338,2975,10.476827722214397
HLA-C01:02,26368,27330,2714,10.292779126213594
HLA-B13:02,24066,25202,2473,10.275907919886977
HLA-B08:01,22177,23335,2269,10.231320737701221
HLA-B35:03,21858,22925,2190,10.019214932747737
HLA-B07:02,18936,20028,1882,9.938741022391213
HLA-A25:01,19310,20274,1911,9.89642672190575
HLA-B18:01,20507,21492,2028,9.889306090603208
HLA-B57:01,20752,21734,2051,9.883384734001542
HLA-C07:02,20305,21356,2003,9.864565377985718
HLA-C03:04,18469,19474,1794,9.71357409713574
HLA-C03:03,18469,19474,1794,9.71357409713574
HLA-C02:02,17840,18789,1722,9.652466367713004
HLA-B58:01,18012,18942,1726,9.582500555185431
HLA-B40:01,16250,17352,1547,9.520000000000001
HLA-B27:05,12735,13923,1183,9.289360031409503
HLA-B51:01,14271,15447,1324,9.277555882559035
HLA-A11:01,14942,15962,1385,9.269174140008031
HLA-A32:01,15153,16078,1402,9.252293275259024
HLA-B15:01,14858,15807,1358,9.13985731592408
HLA-A03:01,14041,14986,1279,9.109037817819242
HLA-B35:01,13951,14985,1267,9.081786251881585
HLA-C04:01,12886,13926,1170,9.079621294428062
HLA-C12:03,14170,15036,1274,8.990825688073395
HLA-A01:01,11387,12375,1023,8.983929041889875
HLA-C15:02,12680,13634,1138,8.974763406940063
HLA-A26:01,10521,11532,923,8.772930329816557
HLA-C05:01,10471,11223,909,8.681119281825996
HLA-A31:01,9562,10513,821,8.586069859861954
HLA-A68:01,5205,5763,426,8.184438040345823
HLA-A23:01,6421,7050,509,7.927114156673415
HLA-A24:02,6125,6724,474,7.738775510204082
HLA-A29:02,5837,6318,451,7.7265718691108445
HLA-A02:01,5890,6515,454,7.707979626485568
