,SARS-Cov-2 SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-B44:02,30431,31569,478,1.5707666524268016
HLA-B44:03,30520,31658,479,1.5694626474442988
HLA-B38:01,26482,27552,414,1.5633260327769807
HLA-C06:02,28358,29275,439,1.5480640383665984
HLA-C07:01,28396,29338,435,1.531905902239752
HLA-C02:02,17840,18789,267,1.4966367713004485
HLA-B13:02,24066,25202,360,1.4958863126402393
HLA-B08:01,22177,23335,329,1.4835189610858095
HLA-C01:02,26368,27330,391,1.4828580097087378
HLA-B07:02,18936,20028,278,1.4681030840726659
HLA-B57:01,20752,21734,302,1.4552814186584426
HLA-C05:01,10471,11223,152,1.4516283067519817
HLA-B18:01,20507,21492,296,1.443409567464768
HLA-C07:02,20305,21356,293,1.4429943363703521
HLA-B58:01,18012,18942,259,1.437930268709749
HLA-C04:01,12886,13926,185,1.4356666149309327
HLA-A25:01,19310,20274,277,1.4344899016053858
HLA-B35:03,21858,22925,312,1.4273950041174857
HLA-C03:04,18469,19474,262,1.4185933185337591
HLA-C03:03,18469,19474,262,1.4185933185337591
HLA-C12:03,14170,15036,200,1.4114326040931546
HLA-C15:02,12680,13634,177,1.3958990536277602
HLA-A32:01,15153,16078,210,1.3858641853098397
HLA-B15:01,14858,15807,205,1.3797280926100417
HLA-A01:01,11387,12375,156,1.3699833143057873
HLA-A11:01,14942,15962,204,1.365279079105876
HLA-B40:01,16250,17352,221,1.3599999999999999
HLA-A03:01,14041,14986,190,1.3531799729364005
HLA-B51:01,14271,15447,193,1.3523929647536963
HLA-B27:05,12735,13923,171,1.342756183745583
HLA-B35:01,13951,14985,186,1.3332377607339976
HLA-A26:01,10521,11532,132,1.2546335899629313
HLA-A31:01,9562,10513,116,1.213135327337377
HLA-A23:01,6421,7050,71,1.1057467684161346
HLA-A02:01,5890,6515,65,1.1035653650254669
HLA-A29:02,5837,6318,63,1.0793215692992975
HLA-A24:02,6125,6724,65,1.0612244897959184
HLA-A68:01,5205,5763,54,1.037463976945245
