,SARS-Cov-2 SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-B44:03,30520,31658,813,2.663826998689384
HLA-B44:02,30431,31569,809,2.658473267391804
HLA-B38:01,26482,27552,690,2.6055433879616343
HLA-C06:02,28358,29275,731,2.5777558360956343
HLA-C07:01,28396,29338,727,2.5602197492604595
HLA-B13:02,24066,25202,611,2.538851491731073
HLA-B08:01,22177,23335,556,2.507101952473283
HLA-C01:02,26368,27330,654,2.4802791262135924
HLA-B57:01,20752,21734,501,2.4142251349267543
HLA-B35:03,21858,22925,527,2.411016561442035
HLA-B07:02,18936,20028,456,2.4081115335868186
HLA-A25:01,19310,20274,462,2.392542723977214
HLA-C02:02,17840,18789,426,2.3878923766816147
HLA-B18:01,20507,21492,486,2.3699224654995854
HLA-C07:02,20305,21356,480,2.363949766067471
HLA-C03:04,18469,19474,434,2.3498835887162275
HLA-C03:03,18469,19474,434,2.3498835887162275
HLA-B58:01,18012,18942,413,2.292915833888519
HLA-A32:01,15153,16078,337,2.2239820497591234
HLA-C12:03,14170,15036,314,2.2159491884262525
HLA-B40:01,16250,17352,360,2.215384615384615
HLA-C04:01,12886,13926,285,2.2117026230017074
HLA-B51:01,14271,15447,314,2.2002662742624906
HLA-C05:01,10471,11223,229,2.1869926463566043
HLA-C15:02,12680,13634,277,2.184542586750789
HLA-A11:01,14942,15962,326,2.1817695087672333
HLA-B15:01,14858,15807,323,2.1739130434782608
HLA-A03:01,14041,14986,302,2.150843956983121
HLA-B35:01,13951,14985,297,2.1288796502042864
HLA-A01:01,11387,12375,240,2.107666637393519
HLA-B27:05,12735,13923,268,2.104436592069101
HLA-A26:01,10521,11532,207,1.9674935842600514
HLA-A31:01,9562,10513,176,1.8406191173394686
HLA-A23:01,6421,7050,110,1.7131287961376733
HLA-A02:01,5890,6515,98,1.6638370118845502
HLA-A29:02,5837,6318,96,1.6446804865513105
HLA-A24:02,6125,6724,100,1.6326530612244898
HLA-A68:01,5205,5763,84,1.6138328530259365
