,SARS-Cov-2 nucleocapsid SB,HCov-229E SB,Identical Icores,Proportional overlap
HLA-B08:01,763,20537,5,0.655307994757536
HLA-B07:02,623,17421,4,0.6420545746388443
HLA-C07:02,637,18787,4,0.6279434850863422
HLA-B13:02,829,22196,5,0.6031363088057901
HLA-C02:02,545,16518,3,0.5504587155963303
HLA-B38:01,930,24436,5,0.5376344086021506
HLA-B44:02,1154,27986,6,0.5199306759098787
HLA-C01:02,969,24183,5,0.5159958720330238
HLA-B44:03,1164,28012,6,0.5154639175257731
HLA-C03:03,585,17063,3,0.5128205128205128
HLA-C03:04,585,17063,3,0.5128205128205128
HLA-C07:01,1059,26036,5,0.4721435316336166
HLA-C06:02,1089,26001,5,0.4591368227731864
HLA-B35:03,677,20202,3,0.4431314623338257
HLA-B40:01,472,15080,2,0.423728813559322
HLA-B58:01,525,16620,2,0.38095238095238093
HLA-A25:01,620,17785,2,0.3225806451612903
HLA-B18:01,648,18915,2,0.30864197530864196
HLA-B57:01,658,19147,2,0.303951367781155
HLA-A03:01,380,13106,1,0.2631578947368421
HLA-B51:01,390,13321,1,0.2564102564102564
HLA-A11:01,413,13999,1,0.24213075060532688
HLA-B15:01,421,13850,1,0.23752969121140144
HLA-A23:01,151,5995,0,0.0
HLA-A24:02,148,5697,0,0.0
HLA-A26:01,264,9877,0,0.0
HLA-A32:01,433,13994,0,0.0
HLA-A68:01,129,4897,0,0.0
HLA-A31:01,237,8963,0,0.0
HLA-A29:02,135,5436,0,0.0
HLA-B35:01,365,13090,0,0.0
HLA-A01:01,295,10668,0,0.0
HLA-B27:05,343,12001,0,0.0
HLA-A02:01,121,5517,0,0.0
HLA-C05:01,277,9725,0,0.0
HLA-C04:01,340,12108,0,0.0
HLA-C12:03,398,13210,0,0.0
HLA-C15:02,363,11779,0,0.0
