,SARS-Cov-2 nucleocapsid SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-A24:02,148,6785,7,4.72972972972973
HLA-A23:01,151,7102,7,4.635761589403973
HLA-A29:02,135,6355,6,4.444444444444445
HLA-A31:01,237,10531,10,4.219409282700422
HLA-A02:01,121,6594,5,4.132231404958678
HLA-A68:01,129,5887,5,3.875968992248062
HLA-A26:01,264,11533,10,3.787878787878788
HLA-B51:01,390,15341,13,3.3333333333333335
HLA-A01:01,295,12296,9,3.050847457627119
HLA-B08:01,763,23063,23,3.014416775884666
HLA-B40:01,472,17138,14,2.9661016949152543
HLA-C04:01,340,13768,10,2.941176470588235
HLA-B27:05,343,13894,10,2.9154518950437316
HLA-B07:02,623,19876,18,2.889245585874799
HLA-C05:01,277,11120,8,2.888086642599278
HLA-B38:01,930,27308,26,2.795698924731183
HLA-C15:02,363,13463,10,2.7548209366391188
HLA-B35:01,365,14859,10,2.73972602739726
HLA-B44:02,1154,31116,31,2.68630849220104
HLA-B13:02,829,24880,22,2.6537997587454765
HLA-A03:01,380,14816,10,2.631578947368421
HLA-B57:01,658,21429,17,2.5835866261398177
HLA-A25:01,620,19968,16,2.5806451612903225
HLA-B44:03,1164,31173,30,2.5773195876288657
HLA-A32:01,433,15957,11,2.5404157043879905
HLA-B35:03,677,22610,17,2.511078286558346
HLA-B58:01,525,18707,13,2.4761904761904763
HLA-B18:01,648,21112,16,2.4691358024691357
HLA-C07:01,1059,28870,26,2.4551463644948064
HLA-A11:01,413,15791,10,2.4213075060532687
HLA-C03:04,585,19210,14,2.3931623931623935
HLA-C03:03,585,19210,14,2.3931623931623935
HLA-C06:02,1089,28880,26,2.3875114784205693
HLA-B15:01,421,15620,10,2.375296912114014
HLA-C07:02,637,21141,15,2.3547880690737837
HLA-C12:03,398,14837,9,2.261306532663317
HLA-C02:02,545,18550,12,2.2018348623853212
HLA-C01:02,969,26838,21,2.1671826625387
