,SARS-Cov-2 nucleocapsid SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-B44:02,1154,31116,12,1.0398613518197575
HLA-B38:01,930,27308,9,0.967741935483871
HLA-B44:03,1164,31173,11,0.9450171821305842
HLA-B08:01,763,23063,7,0.9174311926605505
HLA-B13:02,829,24880,7,0.8443908323281062
HLA-C06:02,1089,28880,9,0.8264462809917356
HLA-C07:01,1059,28870,8,0.7554296506137866
HLA-B07:02,623,19876,4,0.6420545746388443
HLA-C01:02,969,26838,4,0.41279669762641896
HLA-A25:01,620,19968,2,0.3225806451612903
HLA-C07:02,637,21141,2,0.3139717425431711
HLA-B18:01,648,21112,2,0.30864197530864196
HLA-B57:01,658,21429,2,0.303951367781155
HLA-B35:03,677,22610,2,0.29542097488921715
HLA-B51:01,390,15341,1,0.2564102564102564
HLA-B40:01,472,17138,1,0.211864406779661
HLA-C02:02,545,18550,1,0.1834862385321101
HLA-C03:04,585,19210,1,0.17094017094017094
HLA-C03:03,585,19210,1,0.17094017094017094
HLA-C12:03,398,14837,0,0.0
HLA-C05:01,277,11120,0,0.0
HLA-B58:01,525,18707,0,0.0
HLA-C04:01,340,13768,0,0.0
HLA-A02:01,121,6594,0,0.0
HLA-B27:05,343,13894,0,0.0
HLA-A01:01,295,12296,0,0.0
HLA-B35:01,365,14859,0,0.0
HLA-B15:01,421,15620,0,0.0
HLA-A23:01,151,7102,0,0.0
HLA-A29:02,135,6355,0,0.0
HLA-A31:01,237,10531,0,0.0
HLA-A68:01,129,5887,0,0.0
HLA-A32:01,433,15957,0,0.0
HLA-A26:01,264,11533,0,0.0
HLA-A11:01,413,15791,0,0.0
HLA-A24:02,148,6785,0,0.0
HLA-A03:01,380,14816,0,0.0
HLA-C15:02,363,13463,0,0.0
