,SARS-Cov-2 nucleocapsid SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-C02:02,545,16902,1,0.1834862385321101
HLA-B07:02,623,17975,1,0.16051364365971107
HLA-C07:02,637,19275,1,0.15698587127158556
HLA-B08:01,763,21072,1,0.1310615989515072
HLA-B13:02,829,22857,1,0.12062726176115801
HLA-B38:01,930,25020,1,0.10752688172043011
HLA-C01:02,969,24773,1,0.10319917440660474
HLA-C07:01,1059,26545,1,0.09442870632672333
HLA-C06:02,1089,26553,1,0.09182736455463728
HLA-B44:02,1154,28588,1,0.08665511265164644
HLA-B44:03,1164,28619,1,0.0859106529209622
HLA-B58:01,525,17086,0,0.0
HLA-B57:01,658,19691,0,0.0
HLA-B35:03,677,20753,0,0.0
HLA-C04:01,340,12590,0,0.0
HLA-C12:03,398,13589,0,0.0
HLA-C05:01,277,10222,0,0.0
HLA-C03:04,585,17580,0,0.0
HLA-C03:03,585,17580,0,0.0
HLA-B27:05,343,12466,0,0.0
HLA-A02:01,121,5935,0,0.0
HLA-B40:01,472,15501,0,0.0
HLA-A25:01,620,18343,0,0.0
HLA-A03:01,380,13544,0,0.0
HLA-A24:02,148,6114,0,0.0
HLA-A11:01,413,14439,0,0.0
HLA-A26:01,264,10387,0,0.0
HLA-A32:01,433,14522,0,0.0
HLA-A68:01,129,5284,0,0.0
HLA-A31:01,237,9553,0,0.0
HLA-A01:01,295,11188,0,0.0
HLA-A29:02,135,5759,0,0.0
HLA-A23:01,151,6384,0,0.0
HLA-B15:01,421,14300,0,0.0
HLA-B51:01,390,13865,0,0.0
HLA-B18:01,648,19401,0,0.0
HLA-B35:01,365,13560,0,0.0
HLA-C15:02,363,12267,0,0.0
