,SARS-Cov-2 nucleocapsid SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-B07:02,623,17975,3,0.4815409309791332
HLA-B08:01,763,21072,3,0.39318479685452157
HLA-C02:02,545,16902,2,0.3669724770642202
HLA-B38:01,930,25020,3,0.3225806451612903
HLA-C07:02,637,19275,2,0.3139717425431711
HLA-C01:02,969,24773,3,0.30959752321981426
HLA-C07:01,1059,26545,3,0.28328611898017
HLA-C06:02,1089,26553,3,0.27548209366391185
HLA-B44:02,1154,28588,3,0.25996533795493937
HLA-B44:03,1164,28619,3,0.25773195876288657
HLA-B51:01,390,13865,1,0.2564102564102564
HLA-B13:02,829,22857,2,0.24125452352231602
HLA-B40:01,472,15501,1,0.211864406779661
HLA-B58:01,525,17086,1,0.19047619047619047
HLA-C03:04,585,17580,1,0.17094017094017094
HLA-C03:03,585,17580,1,0.17094017094017094
HLA-A25:01,620,18343,1,0.16129032258064516
HLA-B18:01,648,19401,1,0.15432098765432098
HLA-B57:01,658,19691,1,0.1519756838905775
HLA-B35:03,677,20753,1,0.14771048744460857
HLA-C12:03,398,13589,0,0.0
HLA-C05:01,277,10222,0,0.0
HLA-C04:01,340,12590,0,0.0
HLA-A02:01,121,5935,0,0.0
HLA-B27:05,343,12466,0,0.0
HLA-A01:01,295,11188,0,0.0
HLA-B35:01,365,13560,0,0.0
HLA-B15:01,421,14300,0,0.0
HLA-A23:01,151,6384,0,0.0
HLA-A29:02,135,5759,0,0.0
HLA-A31:01,237,9553,0,0.0
HLA-A68:01,129,5284,0,0.0
HLA-A32:01,433,14522,0,0.0
HLA-A26:01,264,10387,0,0.0
HLA-A11:01,413,14439,0,0.0
HLA-A24:02,148,6114,0,0.0
HLA-A03:01,380,13544,0,0.0
HLA-C15:02,363,12267,0,0.0
