,SARS-Cov-2 nucleocapsid SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-A31:01,237,10513,8,3.375527426160337
HLA-A26:01,264,11532,8,3.0303030303030303
HLA-A29:02,135,6318,4,2.9629629629629632
HLA-B51:01,390,15447,11,2.8205128205128207
HLA-B08:01,763,23335,21,2.7522935779816518
HLA-A24:02,148,6724,4,2.7027027027027026
HLA-B38:01,930,27552,25,2.6881720430107525
HLA-A23:01,151,7050,4,2.6490066225165565
HLA-B44:02,1154,31569,30,2.5996533795493932
HLA-B07:02,623,20028,16,2.568218298555377
HLA-B40:01,472,17352,12,2.5423728813559325
HLA-B13:02,829,25202,21,2.5331724969843186
HLA-B44:03,1164,31658,29,2.491408934707904
HLA-A02:01,121,6515,3,2.479338842975207
HLA-A25:01,620,20274,15,2.4193548387096775
HLA-A01:01,295,12375,7,2.3728813559322033
HLA-C07:01,1059,29338,25,2.3607176581680833
HLA-C04:01,340,13926,8,2.3529411764705883
HLA-B27:05,343,13923,8,2.3323615160349855
HLA-A68:01,129,5763,3,2.3255813953488373
HLA-B18:01,648,21492,15,2.314814814814815
HLA-C06:02,1089,29275,25,2.295684113865932
HLA-B57:01,658,21734,15,2.2796352583586628
HLA-C03:03,585,19474,13,2.2222222222222223
HLA-C03:04,585,19474,13,2.2222222222222223
HLA-B35:03,677,22925,15,2.2156573116691285
HLA-C15:02,363,13634,8,2.203856749311295
HLA-B35:01,365,14985,8,2.191780821917808
HLA-C05:01,277,11223,6,2.166064981949458
HLA-A03:01,380,14986,8,2.1052631578947367
HLA-B58:01,525,18942,11,2.0952380952380953
HLA-A32:01,433,16078,9,2.0785219399538106
HLA-C01:02,969,27330,20,2.063983488132095
HLA-C07:02,637,21356,13,2.0408163265306123
HLA-A11:01,413,15962,8,1.937046004842615
HLA-B15:01,421,15807,8,1.9002375296912115
HLA-C02:02,545,18789,10,1.834862385321101
HLA-C12:03,398,15036,7,1.7587939698492463
