,SARS-Cov-2 spike SB,HCov-HKU1 SB,Identical Icores,Proportional overlap
HLA-A02:01,747,6594,0,0.0
HLA-C04:01,1679,13768,0,0.0
HLA-B13:02,3178,24880,0,0.0
HLA-B27:05,1637,13894,0,0.0
HLA-B57:01,2757,21429,0,0.0
HLA-B35:03,2882,22610,0,0.0
HLA-B38:01,3488,27308,0,0.0
HLA-B58:01,2377,18707,0,0.0
HLA-C07:01,3727,28870,0,0.0
HLA-C07:02,2714,21141,0,0.0
HLA-A01:01,1447,12296,0,0.0
HLA-C06:02,3733,28880,0,0.0
HLA-C12:03,1867,14837,0,0.0
HLA-C05:01,1369,11120,0,0.0
HLA-C02:02,2394,18550,0,0.0
HLA-C03:04,2463,19210,0,0.0
HLA-C03:03,2463,19210,0,0.0
HLA-C01:02,3469,26838,0,0.0
HLA-B40:01,2143,17138,0,0.0
HLA-B44:03,4000,31173,0,0.0
HLA-B35:01,1807,14859,0,0.0
HLA-B18:01,2731,21112,0,0.0
HLA-A03:01,1834,14816,0,0.0
HLA-A24:02,775,6785,0,0.0
HLA-A11:01,1970,15791,0,0.0
HLA-A26:01,1360,11533,0,0.0
HLA-A32:01,1969,15957,0,0.0
HLA-A68:01,675,5887,0,0.0
HLA-A25:01,2553,19968,0,0.0
HLA-A31:01,1203,10531,0,0.0
HLA-A29:02,756,6355,0,0.0
HLA-A23:01,814,7102,0,0.0
HLA-B07:02,2483,19876,0,0.0
HLA-B08:01,2937,23063,0,0.0
HLA-B15:01,1954,15620,0,0.0
HLA-B51:01,1862,15341,0,0.0
HLA-B44:02,3990,31116,0,0.0
HLA-C15:02,1655,13463,0,0.0
