,SARS-Cov-2 spike SB,HCov-NL63 SB,Identical Icores,Proportional overlap
HLA-C03:03,2463,17580,1,0.04060089321965083
HLA-C03:04,2463,17580,1,0.04060089321965083
HLA-B07:02,2483,17975,1,0.04027386226339106
HLA-A25:01,2553,18343,1,0.03916960438699569
HLA-C07:02,2714,19275,1,0.036845983787767135
HLA-B18:01,2731,19401,1,0.03661662394727206
HLA-B35:03,2882,20753,1,0.03469812630117974
HLA-B08:01,2937,21072,1,0.034048348655090224
HLA-B13:02,3178,22857,1,0.031466331025802395
HLA-C01:02,3469,24773,1,0.028826751225136928
HLA-B38:01,3488,25020,1,0.028669724770642203
HLA-C07:01,3727,26545,1,0.026831231553528307
HLA-C06:02,3733,26553,1,0.026788106080900084
HLA-B44:02,3990,28588,1,0.02506265664160401
HLA-B44:03,4000,28619,1,0.025
HLA-B58:01,2377,17086,0,0.0
HLA-B27:05,1637,12466,0,0.0
HLA-C12:03,1867,13589,0,0.0
HLA-C05:01,1369,10222,0,0.0
HLA-C02:02,2394,16902,0,0.0
HLA-B57:01,2757,19691,0,0.0
HLA-C04:01,1679,12590,0,0.0
HLA-A02:01,747,5935,0,0.0
HLA-B40:01,2143,15501,0,0.0
HLA-A01:01,1447,11188,0,0.0
HLA-B35:01,1807,13560,0,0.0
HLA-B51:01,1862,13865,0,0.0
HLA-B15:01,1954,14300,0,0.0
HLA-A23:01,814,6384,0,0.0
HLA-A29:02,756,5759,0,0.0
HLA-A31:01,1203,9553,0,0.0
HLA-A68:01,675,5284,0,0.0
HLA-A32:01,1969,14522,0,0.0
HLA-A26:01,1360,10387,0,0.0
HLA-A11:01,1970,14439,0,0.0
HLA-A24:02,775,6114,0,0.0
HLA-A03:01,1834,13544,0,0.0
HLA-C15:02,1655,12267,0,0.0
