,SARS-Cov-2 spike SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-B27:05,1637,13923,33,2.0158827122785583
HLA-A11:01,1970,15962,37,1.8781725888324874
HLA-B38:01,3488,27552,64,1.834862385321101
HLA-B44:02,3990,31569,72,1.8045112781954888
HLA-B44:03,4000,31658,72,1.7999999999999998
HLA-C07:01,3727,29338,66,1.7708612825328682
HLA-A26:01,1360,11532,24,1.7647058823529411
HLA-B13:02,3178,25202,55,1.7306482064191318
HLA-B35:01,1807,14985,31,1.715550636413946
HLA-C03:04,2463,19474,42,1.705237515225335
HLA-C03:03,2463,19474,42,1.705237515225335
HLA-B08:01,2937,23335,50,1.7024174327545116
HLA-C01:02,3469,27330,59,1.7007783222830788
HLA-B35:03,2882,22925,49,1.7002081887578073
HLA-B18:01,2731,21492,46,1.684364701574515
HLA-A25:01,2553,20274,43,1.6842929886408147
HLA-B40:01,2143,17352,36,1.6798880074661688
HLA-A32:01,1969,16078,33,1.675977653631285
HLA-C06:02,3733,29275,62,1.660862577015805
HLA-C07:02,2714,21356,45,1.658069270449521
HLA-B07:02,2483,20028,41,1.6512283527990335
HLA-C12:03,1867,15036,30,1.6068559185859668
HLA-A01:01,1447,12375,23,1.5894955079474777
HLA-A03:01,1834,14986,29,1.5812431842966195
HLA-B51:01,1862,15447,29,1.5574650912996777
HLA-B15:01,1954,15807,30,1.5353121801432956
HLA-B57:01,2757,21734,42,1.5233949945593037
HLA-B58:01,2377,18942,35,1.472444257467396
HLA-A31:01,1203,10513,17,1.4131338320864506
HLA-C15:02,1655,13634,23,1.3897280966767371
HLA-C02:02,2394,18789,33,1.3784461152882206
HLA-C04:01,1679,13926,23,1.36986301369863
HLA-A29:02,756,6318,9,1.1904761904761905
HLA-C05:01,1369,11223,16,1.1687363038714391
HLA-A24:02,775,6724,8,1.032258064516129
HLA-A23:01,814,7050,8,0.9828009828009828
HLA-A02:01,747,6515,7,0.9370816599732262
HLA-A68:01,675,5763,6,0.8888888888888888
