,SARS-Cov-2 spike SB,HCov-OC43 SB,Identical Icores,Proportional overlap
HLA-A02:01,747,6515,0,0.0
HLA-C04:01,1679,13926,0,0.0
HLA-B13:02,3178,25202,0,0.0
HLA-B27:05,1637,13923,0,0.0
HLA-B57:01,2757,21734,0,0.0
HLA-B35:03,2882,22925,0,0.0
HLA-B38:01,3488,27552,0,0.0
HLA-B58:01,2377,18942,0,0.0
HLA-C07:01,3727,29338,0,0.0
HLA-C07:02,2714,21356,0,0.0
HLA-A01:01,1447,12375,0,0.0
HLA-C06:02,3733,29275,0,0.0
HLA-C12:03,1867,15036,0,0.0
HLA-C05:01,1369,11223,0,0.0
HLA-C02:02,2394,18789,0,0.0
HLA-C03:04,2463,19474,0,0.0
HLA-C03:03,2463,19474,0,0.0
HLA-C01:02,3469,27330,0,0.0
HLA-B40:01,2143,17352,0,0.0
HLA-B44:03,4000,31658,0,0.0
HLA-B35:01,1807,14985,0,0.0
HLA-B18:01,2731,21492,0,0.0
HLA-A03:01,1834,14986,0,0.0
HLA-A24:02,775,6724,0,0.0
HLA-A11:01,1970,15962,0,0.0
HLA-A26:01,1360,11532,0,0.0
HLA-A32:01,1969,16078,0,0.0
HLA-A68:01,675,5763,0,0.0
HLA-A25:01,2553,20274,0,0.0
HLA-A31:01,1203,10513,0,0.0
HLA-A29:02,756,6318,0,0.0
HLA-A23:01,814,7050,0,0.0
HLA-B07:02,2483,20028,0,0.0
HLA-B08:01,2937,23335,0,0.0
HLA-B15:01,1954,15807,0,0.0
HLA-B51:01,1862,15447,0,0.0
HLA-B44:02,3990,31569,0,0.0
HLA-C15:02,1655,13634,0,0.0
