,SARS-Cov-2 spike SB,HCov-229E SB,Identical Icores,Proportional overlap
HLA-C03:03,2463,17063,1,0.04060089321965083
HLA-C03:04,2463,17063,1,0.04060089321965083
HLA-B07:02,2483,17421,1,0.04027386226339106
HLA-A25:01,2553,17785,1,0.03916960438699569
HLA-C07:02,2714,18787,1,0.036845983787767135
HLA-B18:01,2731,18915,1,0.03661662394727206
HLA-B35:03,2882,20202,1,0.03469812630117974
HLA-B08:01,2937,20537,1,0.034048348655090224
HLA-B13:02,3178,22196,1,0.031466331025802395
HLA-C01:02,3469,24183,1,0.028826751225136928
HLA-B38:01,3488,24436,1,0.028669724770642203
HLA-C07:01,3727,26036,1,0.026831231553528307
HLA-C06:02,3733,26001,1,0.026788106080900084
HLA-B44:02,3990,27986,1,0.02506265664160401
HLA-B44:03,4000,28012,1,0.025
HLA-B58:01,2377,16620,0,0.0
HLA-B27:05,1637,12001,0,0.0
HLA-C12:03,1867,13210,0,0.0
HLA-C05:01,1369,9725,0,0.0
HLA-C02:02,2394,16518,0,0.0
HLA-B57:01,2757,19147,0,0.0
HLA-C04:01,1679,12108,0,0.0
HLA-A02:01,747,5517,0,0.0
HLA-B40:01,2143,15080,0,0.0
HLA-A01:01,1447,10668,0,0.0
HLA-B35:01,1807,13090,0,0.0
HLA-B51:01,1862,13321,0,0.0
HLA-B15:01,1954,13850,0,0.0
HLA-A23:01,814,5995,0,0.0
HLA-A29:02,756,5436,0,0.0
HLA-A31:01,1203,8963,0,0.0
HLA-A68:01,675,4897,0,0.0
HLA-A32:01,1969,13994,0,0.0
HLA-A26:01,1360,9877,0,0.0
HLA-A11:01,1970,13999,0,0.0
HLA-A24:02,775,5697,0,0.0
HLA-A03:01,1834,13106,0,0.0
HLA-C15:02,1655,11779,0,0.0
